Cell_line	Condition	Transcript	Control	Fold_change
L2895	mock	B2M	HPRT1	1
L2895	1dgIFN	B2M	HPRT1	3.160165247
L2895	mock	TBXT202	HPRT1	1
L2895	1dgIFN	TBXT202	HPRT1	1.057018041
L2895	mock	TBXT201/203	HPRT1	1
L2895	1dgIFN	TBXT201/203	HPRT1	0.790041312
L2895	mock	TBXTall	HPRT1	1
L2895	1dgIFN	TBXTall	HPRT1	0.876605721
L2895	mock	B2M	TBP	1
L2895	1dgIFN	B2M	TBP	3.506422885
L2895	mock	TBXT202	TBP	1
L2895	1dgIFN	TBXT202	TBP	1.172834949
L2895	mock	TBXT201/203	TBP	1
L2895	1dgIFN	TBXT201/203	TBP	0.876605721
L2895	mock	TBXTall	TBP	1
L2895	1dgIFN	TBXTall	TBP	0.972654947
MUG_CHOR1	mock	B2M	HPRT1	1
MUG_CHOR1	1dgIFN	B2M	HPRT1	2.549121255
MUG_CHOR1	3dgIFN	B2M	HPRT1	3.458148925
MUG_CHOR1	mock	TBXT202	HPRT1	1
MUG_CHOR1	1dgIFN	TBXT202	HPRT1	1.205807828
MUG_CHOR1	3dgIFN	TBXT202	HPRT1	1.197478705
MUG_CHOR1	mock	TBXT201/203	HPRT1	1
MUG_CHOR1	1dgIFN	TBXT201/203	HPRT1	1.071773463
MUG_CHOR1	3dgIFN	TBXT201/203	HPRT1	1.2397077
MUG_CHOR1	mock	TBXTall	HPRT1	1
MUG_CHOR1	1dgIFN	TBXTall	HPRT1	1.064370182
MUG_CHOR1	3dgIFN	TBXTall	HPRT1	1.310393404
MUG_CHOR1	mock	B2M	TBP	1
MUG_CHOR1	1dgIFN	B2M	TBP	2.462288827
MUG_CHOR1	3dgIFN	B2M	TBP	3.863745316
MUG_CHOR1	mock	TBXT202	TBP	1
MUG_CHOR1	1dgIFN	TBXT202	TBP	1.164733586
MUG_CHOR1	3dgIFN	TBXT202	TBP	1.337927555
MUG_CHOR1	mock	TBXT201/203	TBP	1
MUG_CHOR1	1dgIFN	TBXT201/203	TBP	1.035264924
MUG_CHOR1	3dgIFN	TBXT201/203	TBP	1.385109468
MUG_CHOR1	mock	TBXTall	TBP	1
MUG_CHOR1	1dgIFN	TBXTall	TBP	1.028113827
MUG_CHOR1	3dgIFN	TBXTall	TBP	1.464085696
UM_CHOR1	mock	B2M	HPRT1	1
UM_CHOR1	1dgIFN	B2M	HPRT1	1.840375301
UM_CHOR1	3dgIFN	B2M	HPRT1	2.084931522
UM_CHOR1	mock	TBXT202	HPRT1	1
UM_CHOR1	1dgIFN	TBXT202	HPRT1	1.064370182
UM_CHOR1	3dgIFN	TBXT202	HPRT1	1.064370182
UM_CHOR1	mock	TBXT201/203	HPRT1	1
UM_CHOR1	1dgIFN	TBXT201/203	HPRT1	0.959264119
UM_CHOR1	3dgIFN	TBXT201/203	HPRT1	1.164733586
UM_CHOR1	mock	TBXTall	HPRT1	1
UM_CHOR1	1dgIFN	TBXTall	HPRT1	1.231144413
UM_CHOR1	3dgIFN	TBXTall	HPRT1	1.404444876
UM_CHOR1	mock	B2M	TBP	1
UM_CHOR1	1dgIFN	B2M	TBP	1.972465409
UM_CHOR1	3dgIFN	B2M	TBP	2
UM_CHOR1	mock	TBXT202	TBP	1
UM_CHOR1	1dgIFN	TBXT202	TBP	1.140763716
UM_CHOR1	3dgIFN	TBXT202	TBP	1.021012126
UM_CHOR1	mock	TBXT201/203	TBP	1
UM_CHOR1	1dgIFN	TBXT201/203	TBP	1.028113827
UM_CHOR1	3dgIFN	TBXT201/203	TBP	1.117287138
UM_CHOR1	mock	TBXTall	TBP	1
UM_CHOR1	1dgIFN	TBXTall	TBP	1.319507911
UM_CHOR1	3dgIFN	TBXTall	TBP	1.347233577
UCH-2	mock	B2M	HPRT1	1
UCH-2	1dgIFN	B2M	HPRT1	2.732080514
UCH-2	3dgIFN	B2M	HPRT1	3.655325801
UCH-2	mock	TBXT202	HPRT1	1
UCH-2	1dgIFN	TBXT202	HPRT1	1.148698355
UCH-2	3dgIFN	TBXT202	HPRT1	0.895025071
UCH-2	mock	TBXT201/203	HPRT1	1
UCH-2	1dgIFN	TBXT201/203	HPRT1	1.132883885
UCH-2	3dgIFN	TBXT201/203	HPRT1	0.965936329
UCH-2	mock	TBXTall	HPRT1	1
UCH-2	1dgIFN	TBXTall	HPRT1	1.140763716
UCH-2	3dgIFN	TBXTall	HPRT1	0.920187651
UCH-2	mock	B2M	TBP	1
UCH-2	1dgIFN	B2M	TBP	3.138336392
UCH-2	3dgIFN	B2M	TBP	3.89061979
UCH-2	mock	TBXT202	TBP	1
UCH-2	1dgIFN	TBXT202	TBP	1.319507911
UCH-2	3dgIFN	TBXT202	TBP	0.952637998
UCH-2	mock	TBXT201/203	TBP	1
UCH-2	1dgIFN	TBXT201/203	TBP	1.301341855
UCH-2	3dgIFN	TBXT201/203	TBP	1.028113827
UCH-2	mock	TBXTall	TBP	1
UCH-2	1dgIFN	TBXTall	TBP	1.310393404
UCH-2	3dgIFN	TBXTall	TBP	0.979420298
L2895	3dgIFN	B2M	HPRT1	NA
L2895	3dgIFN	TBXT202	HPRT1	NA
L2895	3dgIFN	TBXT201/203	HPRT1	NA
L2895	3dgIFN	TBXTall	HPRT1	NA
L2895	3dgIFN	B2M	TBP	NA
L2895	3dgIFN	TBXT202	TBP	NA
L2895	3dgIFN	TBXT201/203	TBP	NA
L2895	3dgIFN	TBXTall	TBP	NA
